Review,Sentiment
"Breakfast was a let down, buffet food was just about warm,however when I mentioned this to staff the quickly got fixing the problem",NEGATIVE
"Staff were very friendly and helpful, location was great for us for trips to Guinness storehouse and kilmainham gaol... And on site parking in the city was very convenient",POSITIVE
"it was such a comfortable stay, the staff were really nice and helped us with getting taxis etc. the breakfast was amazing",POSITIVE
cleanliness location ambience staff,POSITIVE
nothing,NEGATIVE
"Friendly staff greeted us at reception, room was spacious & clean with a great shower. had dinner and breakfast which i can find no faults. Used the gym which is large and has everything you can imagine there. Pool was then the cream on top. Great facilities to have and be able to use as part of your stay.",POSITIVE
"Breakfast was phenomenal - excellent choices, all delicious.  Location was superb for walking to many, many great destinations.  The staff was always friendly and very helpful with any questions and with helping get taxis, etc.",POSITIVE
the seagulls are noisy at all times of night - nothing much you can do about that though!,NEGATIVE
Breakfast excellent. Location next to good restaurants and pubs. People lovely.,POSITIVE
Carla at the reception was exceptional so were Delia and her breakfast team. Top-notch Housekeeping. All in all a great stay.,POSITIVE
everything,POSITIVE
the shower unit too small,NEGATIVE
"Amazing choice of breakfast for the price, everything we had was delicious and the staff were so helpful and friendly. Would definitely go back",POSITIVE
Number 31 was a wonderful stay! We loved the room decor and spacious footprint. The bed was so comfortable and no noise from outdoors or from the adjoining dining area. The Staff were friendly and helped us obtain a cab to the airport & holding our bags for the day while we wandered through Dublin.,POSITIVE
not sure about the bed but changed the direction of pillow and excellent nights sleep,NEGATIVE
Nothing! it was perfect.,POSITIVE
"What didn't we like?! The accommodations were absolutely stunning in the Georgian house which had such a fun and vibrant ascetic. Our bathroom was fitted with stunning (perhaps even heated?) marble with a lovely shower, which opened up to a double bedroom with a glorious floor to ceiling window, a generously sized plush bed, and a huge mounted tv to boot! The location was perfectly situated around incredible restaurants and a very navigable bus route to get just about anywhere in Dublin in under 25 min, not to mention Delia's phenomenal daily breakfast! Our last day of our stay she was even kind enough to leave us with an early pot of coffee, fruit, and bread after calling us a taxi to the airport.  We had a wonderful time staying at Number 31 and felt it was really competitively priced. Would definitely recommend and hope to return someday!",POSITIVE
Literally no complaints.,POSITIVE
Great stay! Would stay again and recommend. Staff were so helpful. Decor was so unique and very clean. Thanks !,POSITIVE
"Beautiful place. Staff very friendly, room very warm with a comfortable bed. Very oriental atmosphere. Delicious breakfast with high class service. I highly recommend.",POSITIVE
beautifully decorated and spacious room!,POSITIVE
the table lay out for breakfast,POSITIVE
Breakfast superb and location was brilliant !,POSITIVE
"The hotel in general is amazing, most of the staff is very kind and provide a high level hospitality service.",POSITIVE
"bar was excellent, food was excellent ,, staff awesome",POSITIVE
"The manager in the breakfast restaurant on 28 and 29 January (Saturday and Sunday) was clearly less professional, less attentive, less helpful, than her colleagues, who were on duty on the other days. The bar is set high in Merrion, and she is just not the right fit for the job.",NEGATIVE
outstanding in every respect,POSITIVE
the prices.,POSITIVE
"The place, the welcome, the service, the food are all great.",POSITIVE
Only minor things really. Gym is small and classes running there so it was too busy to use when I visited. Lights in room were strong and no dimmers or separate switch to turn some on/off. The coffee machine in room was broken (but they gave me a free coffee so all good). Forgot to bring car around when it was scheduled,NEGATIVE
Everything!,POSITIVE
Nothing,NEGATIVE
Upgraded to a junior suite free of charge........without question the best hotel in Dublin.,POSITIVE
"so cosy and clean, High standards and felt really welcomed. amazing attention to detail",POSITIVE
"elegant hotel, comfy bed, good food and service",POSITIVE
Nothing - everything was as good as expected,POSITIVE
great location and very comfortable,POSITIVE
"e-mail communication was slow over the new year holiday weekend, hard to get a reservation in the restaurant at a reasonable hour, guests should be priority booking",NEGATIVE
lack of clear way signs,NEGATIVE
"Warm welcome at check in, multi lingual receptionists.
Exquisite food in restaurant- charming staff- 
gave me a nice table at dinn with the view of the garden’s water feature.
beautiful 18m swimming pool. Great hairdresser and beauty salon. Comfortable room with a Nespresso machine.  Attentive turndown service.",POSITIVE
"the staff were really friendly and helpful, and the place was beautiful.",POSITIVE
Nothing to be honest.,NEGATIVE
"The mattress was amazing comfort, bathroom had loads of space and lovely soaps and shampoos",POSITIVE
"Weather,lol.",POSITIVE
Room was huge and bed massive and very comfortable. Staff accommodated our request to hold bags and early check in.Spa facilities relaxing and spacious.,POSITIVE
bit expensive for food and drink but nothing too bad,POSITIVE
Shower seal leaked.,NEGATIVE
"Beautiful hotel, fantastic facilities and very helpful staff",POSITIVE
great location,POSITIVE
"Lovely, helpful staff at all levels. Great variety for breakfast, handy for Dart or just a dander into the city",POSITIVE
great location great staff,POSITIVE
"We have stayed here quite a few times. Fantastic location, friendly staff, loved the rooftop bar, surrounded by good restaurants and a short taxi to the town centre",POSITIVE
Can be pricey and now charging for car parking )€28),POSITIVE
"friendly staff, beautiful room, comfortable bed, pool area is great",POSITIVE
Have stayed here multiple times and throughout its many changes in ownership it remains a very good hotel in an excellent location,POSITIVE
"Big rooms with terrific amenities.  Great location just adjacent to the park and easy to get around.  If your leary of the Temple Bar area, this is your location!",POSITIVE
Tough getting a cab,NEGATIVE
"location, very helpful friendly staff, food amazing",POSITIVE
over inflated price to stay,NEGATIVE
"Very friendly staff and great service 
Our room was very comfortable to",POSITIVE
On arrival we couldn't understand the man at reception it was very difficult getting checked in.,NEGATIVE
the location the beautiful building and the staff were exceptional,POSITIVE
such a central location and was children friendly,POSITIVE
"stunning decor
clean 
comfortable",POSITIVE
it was all fab,POSITIVE
Most breakfast items in the buffet were cold and although I was a resident the bar wasn’t open to me at 1.30 am (for an orange juice!),NEGATIVE
Lovely decor and history. Staff superb and friendly. attentive but not over bearing,POSITIVE
outside noise whilst trying to get to sleep!,NEGATIVE
"Excellent service by the front desk, room service and housekeeping.  We did the afternoon high tea which was delicious accompanied by friendly and efficient staff. Beautiful decor, enhanced very tastefully for the festive season. Room was well equipped and spacious with ample storage and some great detailed touches.",POSITIVE
Breakfast quality could be a little better (the selection however is vast).,NEGATIVE
Truely 5 star hotel. Nice clean facility with with amazing deco. Exceptional Service. Great location in the city centre. Comfortable bed and large rooms. The pool and sauna are not overcrowded and do not need prior booking to use it.,POSITIVE
They said the menu in the restaurant was overpriced. there was no option to order à la cart restaurant. The hotel is slightly overpriced.,NEGATIVE
Place is amazing. Nothing else to say other than amazing,POSITIVE
Modern decor and spacious rooms. Very friendly and helpful staff,POSITIVE
Nothing,NEGATIVE
The location was ideal for The races at Leopardstown just a short journey away and into Dublin centre. . And Reception helpful in telling us about transport to get there .,POSITIVE
Maurice and Louis were excellent on reception.  Very friendly.,POSITIVE
"Great welcome  and lovely staff.
Beautiful room in a great location. 
Definitely will be back.",POSITIVE
Nothing negative to say,POSITIVE
Great staff and good food,POSITIVE
the staff are so friendly.  especially Connie at the front desk!,POSITIVE
nothing… the hotel is fab and in a great location.,NEGATIVE
Everything!!,POSITIVE
Nothing!,NEGATIVE
"the location was perfect for easy access to the city centre, the staff were fantastic and so friendly they can’t do enough for you.",POSITIVE
shower over the bath is the only downside.,POSITIVE
Can't find any fault with our stay here,POSITIVE
"Fabulous Hotel, with amazing staff, in a perfect location for shopping & restaurants",POSITIVE
location,POSITIVE
bar cold as in could have done with some more soft furnishings,NEGATIVE
everything,POSITIVE
nothing,NEGATIVE
The staff was super helpful and made sure we had a good holiday,POSITIVE
Location,POSITIVE
The hotel welcome was genuine and helpful. Breakfast was abundant and the wait staff very pleasant.,POSITIVE
"The noise, but considering it's in Temple Bar...",NEGATIVE
"Room was lovely and very nicely equipped with an iron, ironing board, hair dryer and a safe if you wanted extra security for your belongings. it was also very modern.",POSITIVE
"Very central, walking distance to everything I needed",POSITIVE
"staff were friendly, really good location and clean nice hotel",POSITIVE
woken up at 3.30am by bottle bins being emptied and from then on lots of noise from outside,NEGATIVE
"Receptionist was so welcoming on arrival an there was hot chocolate an cookies offered to my daughter's ,,massive hit with the kids ,each member of staff that we were in contact with were so friendly ,would definitely go back",POSITIVE
"Perfect location, had all the facilities we needed, Tesco opposite was ideal, comfy beds and they put together a little birthday surprise in the room for us which was lovely",POSITIVE
We didn’t mind this as we knew we were on a Main Street but it is loud until around 2am on the weekend. We were at the front of the hotel so it was louder so if you’re bothered about noise then ask to be in a back room.,NEGATIVE
I chose this hotel for its proximity to where I was working but also because of its location amidst the pubs and restaurants for which the Temple Bar area is famous.,POSITIVE
"I chose a room with two double beds as I was sharing with a friend.  It did not have the city view as advertised but, maybe because of that, it was very quiet and we did get a very good night's sleep.  The beds were also very comfortable.  There was no fridge and there was only one bed-side light in between the two double beds.  One bedside light on either side of the beds would have been better so that one person can read if the other wants to go to sleep.   This room would not win any prizes for interior design but it was clean and comfortable and the location was excellent.",POSITIVE
"Nice hotel 
Clean 
Central location 
Friendly staff",POSITIVE
"There was a strange damp smell in the hallways, which was awful.  
Check in and check out was a little all over the place
Last time i stayed here there was a little welcome treat bag in the room which there wasn't this time. Disappointed as had brought older family members who would have enjoyed it",NEGATIVE
the lay out of the bedrooms was excellent and a little light crept under the door enough to see your way to the loo in the night without putting a main light on and wakening your partner the breakfast was good and hearty and the waiters were attentive and anything requested came quickly,POSITIVE
The room was huge - could have had a party in there. Location is perfect and staff very friendly and helpful.,POSITIVE
"I stayed in this hotel regularly many years ago and despite renovations, the decor is not as nice or comfortable as it was then. I found the room cold.",NEGATIVE
"We stayed at Sonder for 2 weeks while working from home and quarantining. The apartments are truly excellent - modern, clean, spacious and in a really great location on Hannover Quay. The staff at Sonder were so helpful with any requests. Would highly recommend for any stay in Dublin.",POSITIVE
"Location is really cool
The apartment is perfect.all facilities are included",POSITIVE
Address instruction needs to be written more in details.,NEGATIVE
Good location and new building fully set up to live in for two weeks.,POSITIVE
We had some hiccups with the internet at first.,NEGATIVE
Everything,POSITIVE
Nothing,NEGATIVE
The apartment was nice,POSITIVE
The black and white puddings at breakfast were over done and hard and should have all been put in the bin along with the Toaster which cremates the crust whilst the centre is hardly coloured Plus I was not told until the last day that if I only wanted tea and toast I could down grade the cost from full Irish to continental,NEGATIVE
"The heating was not working properly and we were cold it was not fixed despite many requests. They offered us heaters and extra blankets but this was not adequate. It is not want one expects when paying 1,500 Euro per week.",NEGATIVE
"There was a drainpipe right outside the window. When it rains the noise is unbearable and one can't sleep On four occasions I had to sleep in the living room. I had to take the cushions from the sofa and put them near the door as this was the only darkish spot. Could not sleep on the couch as there are only net curtains and too much light gets in even at night, street lights etc.When the extractor fan over the cooker is turned on, dirt covers the food that you are preparing. Looks something like sawdust.Extractor fans in the bathroom did not work nor did the towel railThe heating system has a mind of its own. Had to call a technician in to the set it up right. He advised that it was all set up wrong. And even after he fixed it/set up the controls right, the heating was still all over the place e.g. you set the heat for 21degrees it still wouldn't raise above 19.If I wasn't to busy I would have moved elsewhere. The place is not fit for purpose.But if you like your food covered in sawdust, sleepless nights and erratic room temperatures, then this is the place for you.",NEGATIVE
Did not avail of breakfast,NEGATIVE
The staff was super helpful and made sure we had a good holiday,POSITIVE
Location,POSITIVE
The hotel welcome was genuine and helpful. Breakfast was abundant and the wait staff very pleasant.,POSITIVE
Lovely breakfast- great selection,POSITIVE
"The noise, but considering it's in Temple Bar...",NEGATIVE
"Very central, walking distance to everything I needed",POSITIVE
"staff were friendly, really good location and clean nice hotel",POSITIVE
woken up at 3.30am by bottle bins being emptied and from then on lots of noise from outside,NEGATIVE
"Receptionist was so welcoming on arrival an there was hot chocolate an cookies offered to my daughter's ,,massive hit with the kids ,each member of staff that we were in contact with were so friendly ,would definitely go back",POSITIVE
"Perfect location, had all the facilities we needed, Tesco opposite was ideal, comfy beds and they put together a little birthday surprise in the room for us which was lovely",POSITIVE
We didn’t mind this as we knew we were on a Main Street but it is loud until around 2am on the weekend. We were at the front of the hotel so it was louder so if you’re bothered about noise then ask to be in a back room.,NEGATIVE
I chose this hotel for its proximity to where I was working but also because of its location amidst the pubs and restaurants for which the Temple Bar area is famous.,POSITIVE
"I chose a room with two double beds as I was sharing with a friend.  It did not have the city view as advertised but, maybe because of that, it was very quiet and we did get a very good night's sleep.  The beds were also very comfortable.  There was no fridge and there was only one bed-side light in between the two double beds.  One bedside light on either side of the beds would have been better so that one person can read if the other wants to go to sleep.   This room would not win any prizes for interior design but it was clean and comfortable and the location was excellent.",POSITIVE
"Nice hotel 
Clean 
Central location 
Friendly staff",POSITIVE
Breakfast wasn't wonderful,NEGATIVE
"There was a strange damp smell in the hallways, which was awful.  
Check in and check out was a little all over the place
Last time i stayed here there was a little welcome treat bag in the room which there wasn't this time. Disappointed as had brought older family members who would have enjoyed it",NEGATIVE
The room was huge - could have had a party in there. Location is perfect and staff very friendly and helpful.,POSITIVE
"I stayed in this hotel regularly many years ago and despite renovations, the decor is not as nice or comfortable as it was then. I found the room cold.",NEGATIVE
Loved the hotel as it is tucked away but near great bars. The boho vibes throughout the hotel were great and staff was super nice!,POSITIVE
Breakfast is good but the staff in the restaurant are not the happiest.,NEGATIVE
"Receptionist on arrival was excellent, she checked me in early which was fantastic.",POSITIVE
"Outstanding facility with state-of-the-art architecture, staff, and the perfect location for everyone who wants to explore the city centre.The room was tiny for the Dublin average, but it had everything needed, controllable with the tip of your finger.Spotless doesn't do justice to how clean, and immaculate the whole place was, from the entrance, the bar, and the room.",POSITIVE
"No complaints, just maybe one or two breakfast ingredients were not at the same standard as everything else.But I wouldn't put this in the cons section :)",POSITIVE
location,POSITIVE
The bed is difficult for two people as up against the window and you have to climb over each other,NEGATIVE
"The hotel is located close to St. Stephens Green and Grafton Street.  There is a taxi rank rank outside the hotel.  There is ample car parking in the grounds of the hotel.  The bed and pillows were extremely comfortable.  The room was clean.  There is a hairdryer, iron, safe, mini fridge and tea making facilities in the room.  The breakfast was excellent with a good range of food to choose from.",POSITIVE
Defineltly the location.,POSITIVE
"really cute hotel, loved the eco friendly facilities, spacious room and great location",POSITIVE
nothing,NEGATIVE
a surprising city escape,POSITIVE
very convenient location,POSITIVE
"Gorgeous hotel, lovely friendly staff, immaculately clean, very comfortable and fabulous breakfast. Great location. Would definitely go back.",POSITIVE
"location, you can’t beat that!",POSITIVE
"I didn’t have a problem with it but the room is really small, the bed is accessible only on one side",NEGATIVE
"Good location, nicely furnished.  Big towels and heated towel rail.",POSITIVE
"Location is very good. nice area, access to taxi, buses, air coach to Airport.",POSITIVE
The steps leading up to it. Not great for accessibility or a heavy suitcase.,NEGATIVE
"The staff were pleasant, the bar was good. The breakfast was basic but good. veggies options were given if asked for. 
The room was clean and the cleaning service was great. Came back to a clean room every day. 
Also the shower was great! Located in an Ok area. Dublin is we’ll connected which is helpful",POSITIVE
The rooms were a lot more basic than in pictures. almost all of the staff were helpful except one who kept taking personal calls at reception and passed us on to other members of staff who couldn’t help. I think it is slightly overpriced. Not the best area. didn’t sleep great. Bed was uncomfortable,NEGATIVE
location was excellent,POSITIVE
Breakfast was excellent as always location not to far from train station no complaints,POSITIVE
The rooms are adequately spacious. The pub area is nice. The staff are friendly.,POSITIVE
The building is under refurbishment and this was not made clear during the booking process. The parking on site is very very tight and due to refurbishment equipment in the car park it was difficult to park without damaging other cars.,NEGATIVE
Good location for shopping and eating out. Not too much of a walk from Temple bar either. Room was clean,POSITIVE
"Noisy builders very early on a Monday morning due to work being done on floor 2. Also, we put a sign on our door for it not to be cleaned, which was taken off twice.",NEGATIVE
Great value and location. Parking. Comfortable room,POSITIVE
Carpets in the room should be more clean. Bathroom look very small for 2 people. No options for tea bags i ask for peppermint tea wasn't available. Should be more options. In general was ok.,NEGATIVE
Nothing,NEGATIVE
Easy walking distance to the main Dublin sights.,POSITIVE
"Very clean,excellent bar and good location",POSITIVE
"Had a meal in the restaurant, not great,raw garlic piled on the plate",NEGATIVE
"Very clean, great quality, very comfy and safe",POSITIVE
The cleaners were talking/ shouting at around 8am which woke my friend and I up. I have stayed here before and that happened the last time too. Other than that excellent hotel,NEGATIVE
Brilliant location. Staff were very helpful and provided a service with a smile.,POSITIVE
That there was only a lift to take up to the floor we were on and not stairs. I'm not a fan of lift due to being stuck in one when I was a young child.,NEGATIVE
"room is quite good for a family, with 1 kid",POSITIVE
very close to everything,POSITIVE
"Proximity to shopping, restaurants, buses, etc.",POSITIVE
nothing all was good,NEGATIVE
The hotel was amazing and the staff were so friendly and helpful.,POSITIVE
Excellent location - lovely spacious room with great shower. Breakfast was the best.,POSITIVE
Brilliant location,POSITIVE
"All hotels in Dublin are pricey, Saturday night especially.",POSITIVE
"This is an excellent hotel which has an extremely high standard of cleaniness. The hotel is very nice staff are very pleasant and the room are extremely high standard. I would highly recommend this hotel for staying in Dublin city center. Very close to temple bar, Grafton street and all restaurants. It is to be fair a hidden gem in the city. This hotel will not disappoint you I would highly recommend booking in here for any kind of stay be it business, family, or personal.",POSITIVE
I can not say anything bad about this hotel. I only have positive comments to make.,POSITIVE
Really modern and comfortable rooms,POSITIVE
"Water pressure in shower was poor l, hard to wash out shampoo from hair.",NEGATIVE
"Absolutely beautiful, room was beautiful. Everything was perfect in the room. Spotless and very comfortable.",POSITIVE
Having to leave!,NEGATIVE
location,POSITIVE
"central location , staff was very nice! 
close to a bus stop for public transport",POSITIVE
"The staff were very friendly and helpful, the room was clean and warm.",POSITIVE
"Clean, comfortable, friendly staff and a tasty breakfast.",POSITIVE
Fantastic staff.,POSITIVE
"Directly opposite a hospital, so lots of ambulance sirens.",POSITIVE
"- Able to check in early as our room was ready, - Good comms beforehand- Location only 10-15 min walk to city centre and 15 min taxi from airport- Staff were friendly- Breakfast was great",POSITIVE
"- Hotel entrance is into a cafe and wasn't quite sure whether we were in the right place as no obvious 'Reception' . This could be better signposted- Shower temperature was hard to control, also small shower so I ended up knocking the handle and making it so hot it scolded me",NEGATIVE
Breakfast was great,POSITIVE
"Very comfy and well appointed bedroom, sitting above a pretty cool cafe. Breakfast in cafe was included, I had eggs Benedict, was really really nice. would stay again.",POSITIVE
"Cafe is basically the reception, shuts at 5pm, so need to make special arrangement if checking in after that. informed that via booking.com messages, but still seems a little restrictive. If locked out, could be awkward. But basically same as Airbnb, so if you’re careful you’re ok.",NEGATIVE
"Doesn't have a lift, so is hard if you have alot of luggage.",NEGATIVE
"Staff very friendly.
Lovely breakfast and room very clean.",POSITIVE
Price was good. Coffee was great.,POSITIVE
"It’s a very rough part of town at night. I was afraid to leave at dark. Feels unsafe. There is not 24 hour reception, so that feels uncomfortable to me. The breakfast was only ok.",NEGATIVE
Very clean and comfortable. The restaurant was very good and we could walk to the city centre and back (about 1/2 hour each way),POSITIVE
"Good size room, food good value for money, near the city and plenty of bus routes within walking distance",POSITIVE
The cleanliness and the absolute comfort of the bed..staff were top class too,POSITIVE
NothingðŸ™‚,NEGATIVE
"Nice staff, we had a big room with a big bathroom, easy to walk into centre if you are prepared to walk 20 to 30 minutes, bus station nearby. Good breakfast, relaxed and pleasent atmosphere. Different decor from the usual 4 star places, which was nice for a change. Also not overheated as many hotel rooms during the night, yet you can set the heat during the day easyily.",POSITIVE
beautiful hotel food amazing staff lovely,POSITIVE
absolutely nothing,NEGATIVE
everything,POSITIVE
"Room fabulous, food delicious, staff friendly and efficient, excellent stay all over, the one concern I voiced was dealt with immediately and efficiently, I have no hesitation in recommending the Hampton Hotel",POSITIVE
Staff very pleasant and location ideal,POSITIVE
Bar area a bit on the cold side prefer if it was cosier.   Need a few areas with couches so you can sit off and chat and enjoy your drinks,NEGATIVE
"request for extra bed in the room was botched, despite being confirmed online by direct message.",NEGATIVE
All the staff were very helpful both before and during our stay.  The location was ver convenient with the Aircoach 700 stops from the airport directly outside the hotel.,POSITIVE
We couldn't figure out hou to use the phone charger on the 1st night.  It helps when we switched it on !,POSITIVE
Amazing breakfasts and excellent services. Just awsome,POSITIVE
"location, the great service and the atmosphere.",POSITIVE
"great location, lovely hotel",POSITIVE
Lovely setting with quirky and individualised room - loved the gin tea Rooms! Breakfast excellent,POSITIVE
"The welcome at reception was poor at check in,  poor engagement appeared disorganised with little eye contact or communication. This was a pity because every other aspect of stay was excellent",NEGATIVE
"All the staff who work on the bar were so lovely and friendly, nothing was too much trouble. The building itself is really impressive and in a quiet area of town. Complimentary g&t was a nice surprise!",POSITIVE
Couldn't get a better location in dublin,POSITIVE
"The staff on the front desk weren’t very welcoming when we arrived at the hotel. The room had been prepaid for as an Xmas present for my partner but the desk staff opened with asking me to pay the full amount again. which was a bit embarrassing as he was standing there. 
Although the room is as advertised as Small, it is Very Small for £200+ a night. and no bath.",NEGATIVE
"The Wilder is a beautiful old building in which every little detail is designed with a lot of taste, it’s only a 15 min walk to the central area; the room was small but comfortable, the breakfast was very good, we recommend it!",POSITIVE
"Great location, charming architecture.",POSITIVE
"The room was quite small, but we were able to make it work well enough.",POSITIVE
"The ambience,the location,the attention to detail",POSITIVE
Absolutely nothing!,NEGATIVE
not much,NEGATIVE
"Breakfast was lovely, staff were really nice.",POSITIVE
Tables were a little close to each other. Would have been nice to have a bit more space.,NEGATIVE
There are no comments available for this review,POSITIVE
"very clean, amazing breakfast included in the price with our booking. location was close to temple bar and 20 minute walk from most popular sites. would stay here again- love from Canada!",POSITIVE
"The loveliest, smiliest, staff throughout who went out of their way to help.  Hotel is in a fantastic central location but still in a calm, quiet street.  Room was nice and spacious with a big bed and a sofa.  Breakfast was delicious with more than enough great food to keep you going.",POSITIVE
"The bed was big with a good, firm mattress (two singles pushed together) but was in desperate need of a mattress topper as it was just too hard.  Bath towels were tiny and only just big enough for a child.   We paid a promotional price for the room but would have been very disappointed if we had paid the full price.",NEGATIVE
Breakfast,POSITIVE
Having to book this when we did not know.,POSITIVE
"Elegant hotel, beautifully appointed with attentive staff. Location was great especially good food at the adjacent Dunne & Crescenzi restaurant",POSITIVE
"Had a cosy standard room at the top of the house. It was small but very well laid out with plenty of storage for a short stay, and decorated beautifully. As it is an old townhouse there are no lifts in the building, so perhaps request a lower floor room if three flights of stairs sound alot.  The staff were very friendly and helpful. The breakfast was fabulous in a modern restaurant at the back of the building. The location was excellent - close to shopping, restaurants, and travel links. And despite its central location it is on a quiet street.",POSITIVE
breakfast was amazing and location was perfect,POSITIVE
nothing,NEGATIVE
"room, location and breakfast",POSITIVE
There are no comments available for this review,POSITIVE
Room at back  -construction site noise during nightv,NEGATIVE
Beautiful and comfortable,POSITIVE
"Location, staff , comfort . Great place",POSITIVE
Bit noisy at night but that's not down to hotel but other guests !,POSITIVE
"Great staff, recommended what i could visit and what i should avoid, also recommended a great place to eat, a french location definitely glad i went there !",POSITIVE
"Nicholas, the host, was very polite and helpful.",POSITIVE
It was very clean and the people were very nice,POSITIVE
