,review
54,Woman snoring really loudly . Very loud dormitory doors banging up and down the corridors
55,"The staff was great, absolutely no complaints!"
56,"When we got in the room, there was a towel that seemed used hanging in the shower. Cleanliness otherwise was good!"
57,I liked the vibe and all the amentities there
58,"it felt like a dorm, but very nice."
59,Incredible room. Incredible facilities. Incredible staff. Couldn't recommend enough.
60,"It was a bit far out of the city centre (30mins walk) but it was do-able, and if you didn't want to walk there was a bus stop just outside!"
61,Room was a little bit cold
62,The location was brilliant and it’s a lovely modern hotel.
63,the food could be better
64,"Had a lovely meal in the bar. Very friendly and professional staff. Rooms were spotless and even though my room overlooked a busy road, there wasn’t an issue with noise. Secure parking as well."
65,Bed mattress was a little on the hard side
66,"The hotel was clean, comfortable and quiet at night and directly across the road from the historic Kilmainham Gaol with the museum of modern art and grounds a stones throw away."
67,There was an additional charge for parking which I thought was a little unnecessary considering the room was over €200 per night. I felt this could have been complimentary.
68,Pool area was nice
69,"Excellent location, straight across the road from kilmainham Goal and approximately 20 min walk to zoo."
70,"Breakfast was a let down, buffet food was just about warm,however when I mentioned this to staff the quickly got fixing the problem"
71,"Staff were very friendly and helpful, location was great for us for trips to Guinness storehouse and kilmainham gaol... And on site parking in the city was very convenient"
72,"it was such a comfortable stay, the staff were really nice and helped us with getting taxis etc. the breakfast was amazing"
73,cleanliness location ambience staff
74,nothing
75,"Friendly staff greeted us at reception, room was spacious & clean with a great shower. had dinner and breakfast which i can find no faults. Used the gym which is large and has everything you can imagine there. Pool was then the cream on top. Great facilities to have and be able to use as part of your stay."
76,"Breakfast was phenomenal - excellent choices, all delicious.  Location was superb for walking to many, many great destinations.  The staff was always friendly and very helpful with any questions and with helping get taxis, etc."
77,the seagulls are noisy at all times of night - nothing much you can do about that though!
78,Breakfast excellent. Location next to good restaurants and pubs. People lovely.
79,Carla at the reception was exceptional so were Delia and her breakfast team. Top-notch Housekeeping. All in all a great stay.
80,everything
81,the shower unit too small
82,"Amazing choice of breakfast for the price, everything we had was delicious and the staff were so helpful and friendly. Would definitely go back"
83,Number 31 was a wonderful stay! We loved the room decor and spacious footprint. The bed was so comfortable and no noise from outdoors or from the adjoining dining area. The Staff were friendly and helped us obtain a cab to the airport & holding our bags for the day while we wandered through Dublin.
84,not sure about the bed but changed the direction of pillow and excellent nights sleep
85,Nothing! it was perfect.
86,"What didn't we like?! The accommodations were absolutely stunning in the Georgian house which had such a fun and vibrant ascetic. Our bathroom was fitted with stunning (perhaps even heated?) marble with a lovely shower, which opened up to a double bedroom with a glorious floor to ceiling window, a generously sized plush bed, and a huge mounted tv to boot! The location was perfectly situated around incredible restaurants and a very navigable bus route to get just about anywhere in Dublin in under 25 min, not to mention Delia's phenomenal daily breakfast! Our last day of our stay she was even kind enough to leave us with an early pot of coffee, fruit, and bread after calling us a taxi to the airport.  We had a wonderful time staying at Number 31 and felt it was really competitively priced. Would definitely recommend and hope to return someday!"
87,Literally no complaints.
88,Great stay! Would stay again and recommend. Staff were so helpful. Decor was so unique and very clean. Thanks !
89,"Beautiful place. Staff very friendly, room very warm with a comfortable bed. Very oriental atmosphere. Delicious breakfast with high class service. I highly recommend."
90,beautifully decorated and spacious room!
91,the table lay out for breakfast
92,Breakfast superb and location was brilliant !
93,"The hotel in general is amazing, most of the staff is very kind and provide a high level hospitality service."
94,"bar was excellent, food was excellent ,, staff awesome"
95,"The manager in the breakfast restaurant on 28 and 29 January (Saturday and Sunday) was clearly less professional, less attentive, less helpful, than her colleagues, who were on duty on the other days. The bar is set high in Merrion, and she is just not the right fit for the job."
96,outstanding in every respect
97,the prices.
98,"The place, the welcome, the service, the food are all great."
99,Only minor things really. Gym is small and classes running there so it was too busy to use when I visited. Lights in room were strong and no dimmers or separate switch to turn some on/off. The coffee machine in room was broken (but they gave me a free coffee so all good). Forgot to bring car around when it was scheduled
100,Everything!
101,Nothing
102,Upgraded to a junior suite free of charge........without question the best hotel in Dublin.
103,"so cosy and clean, High standards and felt really welcomed. amazing attention to detail"
104,"elegant hotel, comfy bed, good food and service"
105,Nothing - everything was as good as expected
106,great location and very comfortable
107,"e-mail communication was slow over the new year holiday weekend, hard to get a reservation in the restaurant at a reasonable hour, guests should be priority booking"
108,lack of clear way signs
109,"Warm welcome at check in, multi lingual receptionists.
Exquisite food in restaurant- charming staff- 
gave me a nice table at dinn with the view of the garden’s water feature.
beautiful 18m swimming pool. Great hairdresser and beauty salon. Comfortable room with a Nespresso machine.  Attentive turndown service."
110,"the staff were really friendly and helpful, and the place was beautiful."
111,Nothing to be honest.
112,"The mattress was amazing comfort, bathroom had loads of space and lovely soaps and shampoos"
113,"Weather,lol."
114,Room was huge and bed massive and very comfortable. Staff accommodated our request to hold bags and early check in.Spa facilities relaxing and spacious.
115,bit expensive for food and drink but nothing too bad
116,Shower seal leaked.
117,"Beautiful hotel, fantastic facilities and very helpful staff"
118,great location
119,"Lovely, helpful staff at all levels. Great variety for breakfast, handy for Dart or just a dander into the city"
120,great location great staff
121,"We have stayed here quite a few times. Fantastic location, friendly staff, loved the rooftop bar, surrounded by good restaurants and a short taxi to the town centre"
122,Can be pricey and now charging for car parking )€28)
123,"friendly staff, beautiful room, comfortable bed, pool area is great"
124,Have stayed here multiple times and throughout its many changes in ownership it remains a very good hotel in an excellent location
125,"Big rooms with terrific amenities.  Great location just adjacent to the park and easy to get around.  If your leary of the Temple Bar area, this is your location!"
126,Tough getting a cab
127,"location, very helpful friendly staff, food amazing"
128,over inflated price to stay
129,"Very friendly staff and great service 
Our room was very comfortable to"
130,On arrival we couldn't understand the man at reception it was very difficult getting checked in.
131,the location the beautiful building and the staff were exceptional
132,such a central location and was children friendly
133,"stunning decor
clean 
comfortable"
134,it was all fab
135,Most breakfast items in the buffet were cold and although I was a resident the bar wasn’t open to me at 1.30 am (for an orange juice!)
136,Lovely decor and history. Staff superb and friendly. attentive but not over bearing
137,outside noise whilst trying to get to sleep!
138,"Excellent service by the front desk, room service and housekeeping.  We did the afternoon high tea which was delicious accompanied by friendly and efficient staff. Beautiful decor, enhanced very tastefully for the festive season. Room was well equipped and spacious with ample storage and some great detailed touches."
139,Breakfast quality could be a little better (the selection however is vast).
140,Truely 5 star hotel. Nice clean facility with with amazing deco. Exceptional Service. Great location in the city centre. Comfortable bed and large rooms. The pool and sauna are not overcrowded and do not need prior booking to use it.
141,They said the menu in the restaurant was overpriced. there was no option to order à la cart restaurant. The hotel is slightly overpriced.
142,Place is amazing. Nothing else to say other than amazing
143,Modern decor and spacious rooms. Very friendly and helpful staff
144,Nothing
145,The location was ideal for The races at Leopardstown just a short journey away and into Dublin centre. . And Reception helpful in telling us about transport to get there .
146,Maurice and Louis were excellent on reception.  Very friendly.
147,"Great welcome  and lovely staff.
Beautiful room in a great location. 
Definitely will be back."
148,Nothing negative to say
149,Great staff and good food
150,the staff are so friendly.  especially Connie at the front desk!
151,nothing… the hotel is fab and in a great location.
152,Everything!!
153,Nothing!
154,"the location was perfect for easy access to the city centre, the staff were fantastic and so friendly they can’t do enough for you."
155,shower over the bath is the only downside.
156,Can't find any fault with our stay here
157,"Fabulous Hotel, with amazing staff, in a perfect location for shopping & restaurants"
158,location
159,bar cold as in could have done with some more soft furnishings
160,everything
161,nothing
162,The staff was super helpful and made sure we had a good holiday
163,Location
164,The hotel welcome was genuine and helpful. Breakfast was abundant and the wait staff very pleasant.
165,"The noise, but considering it's in Temple Bar..."
166,"Room was lovely and very nicely equipped with an iron, ironing board, hair dryer and a safe if you wanted extra security for your belongings. it was also very modern."
167,"Very central, walking distance to everything I needed"
168,"staff were friendly, really good location and clean nice hotel"
169,woken up at 3.30am by bottle bins being emptied and from then on lots of noise from outside
170,"Receptionist was so welcoming on arrival an there was hot chocolate an cookies offered to my daughter's ,,massive hit with the kids ,each member of staff that we were in contact with were so friendly ,would definitely go back"
171,"Perfect location, had all the facilities we needed, Tesco opposite was ideal, comfy beds and they put together a little birthday surprise in the room for us which was lovely"
172,We didn’t mind this as we knew we were on a Main Street but it is loud until around 2am on the weekend. We were at the front of the hotel so it was louder so if you’re bothered about noise then ask to be in a back room.
173,I chose this hotel for its proximity to where I was working but also because of its location amidst the pubs and restaurants for which the Temple Bar area is famous.
174,"I chose a room with two double beds as I was sharing with a friend.  It did not have the city view as advertised but, maybe because of that, it was very quiet and we did get a very good night's sleep.  The beds were also very comfortable.  There was no fridge and there was only one bed-side light in between the two double beds.  One bedside light on either side of the beds would have been better so that one person can read if the other wants to go to sleep.   This room would not win any prizes for interior design but it was clean and comfortable and the location was excellent."
175,"Nice hotel 
Clean 
Central location 
Friendly staff"
176,"There was a strange damp smell in the hallways, which was awful.  
Check in and check out was a little all over the place
Last time i stayed here there was a little welcome treat bag in the room which there wasn't this time. Disappointed as had brought older family members who would have enjoyed it"
177,the lay out of the bedrooms was excellent and a little light crept under the door enough to see your way to the loo in the night without putting a main light on and wakening your partner the breakfast was good and hearty and the waiters were attentive and anything requested came quickly
178,The room was huge - could have had a party in there. Location is perfect and staff very friendly and helpful.
179,"I stayed in this hotel regularly many years ago and despite renovations, the decor is not as nice or comfortable as it was then. I found the room cold."
180,"We stayed at Sonder for 2 weeks while working from home and quarantining. The apartments are truly excellent - modern, clean, spacious and in a really great location on Hannover Quay. The staff at Sonder were so helpful with any requests. Would highly recommend for any stay in Dublin."
181,"Location is really cool
The apartment is perfect.all facilities are included"
182,Address instruction needs to be written more in details.
183,Good location and new building fully set up to live in for two weeks.
184,We had some hiccups with the internet at first.
185,Everything
186,Nothing
187,The apartment was nice
188,The black and white puddings at breakfast were over done and hard and should have all been put in the bin along with the Toaster which cremates the crust whilst the centre is hardly coloured Plus I was not told until the last day that if I only wanted tea and toast I could down grade the cost from full Irish to continental
189,"The heating was not working properly and we were cold it was not fixed despite many requests. They offered us heaters and extra blankets but this was not adequate. It is not want one expects when paying 1,500 Euro per week."
190,"There was a drainpipe right outside the window. When it rains the noise is unbearable and one can't sleep On four occasions I had to sleep in the living room. I had to take the cushions from the sofa and put them near the door as this was the only darkish spot. Could not sleep on the couch as there are only net curtains and too much light gets in even at night, street lights etc.When the extractor fan over the cooker is turned on, dirt covers the food that you are preparing. Looks something like sawdust.Extractor fans in the bathroom did not work nor did the towel railThe heating system has a mind of its own. Had to call a technician in to the set it up right. He advised that it was all set up wrong. And even after he fixed it/set up the controls right, the heating was still all over the place e.g. you set the heat for 21degrees it still wouldn't raise above 19.If I wasn't to busy I would have moved elsewhere. The place is not fit for purpose.But if you like your food covered in sawdust, sleepless nights and erratic room temperatures, then this is the place for you."
191,Did not avail of breakfast
192,The staff was super helpful and made sure we had a good holiday
193,Location
194,The hotel welcome was genuine and helpful. Breakfast was abundant and the wait staff very pleasant.
195,Lovely breakfast- great selection
196,"The noise, but considering it's in Temple Bar..."
197,"Very central, walking distance to everything I needed"
198,"staff were friendly, really good location and clean nice hotel"
199,woken up at 3.30am by bottle bins being emptied and from then on lots of noise from outside
200,"Receptionist was so welcoming on arrival an there was hot chocolate an cookies offered to my daughter's ,,massive hit with the kids ,each member of staff that we were in contact with were so friendly ,would definitely go back"
201,"Perfect location, had all the facilities we needed, Tesco opposite was ideal, comfy beds and they put together a little birthday surprise in the room for us which was lovely"
202,We didn’t mind this as we knew we were on a Main Street but it is loud until around 2am on the weekend. We were at the front of the hotel so it was louder so if you’re bothered about noise then ask to be in a back room.
203,I chose this hotel for its proximity to where I was working but also because of its location amidst the pubs and restaurants for which the Temple Bar area is famous.
204,"I chose a room with two double beds as I was sharing with a friend.  It did not have the city view as advertised but, maybe because of that, it was very quiet and we did get a very good night's sleep.  The beds were also very comfortable.  There was no fridge and there was only one bed-side light in between the two double beds.  One bedside light on either side of the beds would have been better so that one person can read if the other wants to go to sleep.   This room would not win any prizes for interior design but it was clean and comfortable and the location was excellent."
205,"Nice hotel 
Clean 
Central location 
Friendly staff"
206,Breakfast wasn't wonderful
207,"There was a strange damp smell in the hallways, which was awful.  
Check in and check out was a little all over the place
Last time i stayed here there was a little welcome treat bag in the room which there wasn't this time. Disappointed as had brought older family members who would have enjoyed it"
208,The room was huge - could have had a party in there. Location is perfect and staff very friendly and helpful.
209,"I stayed in this hotel regularly many years ago and despite renovations, the decor is not as nice or comfortable as it was then. I found the room cold."
210,Loved the hotel as it is tucked away but near great bars. The boho vibes throughout the hotel were great and staff was super nice!
211,Breakfast is good but the staff in the restaurant are not the happiest.
212,"Receptionist on arrival was excellent, she checked me in early which was fantastic."
213,"Outstanding facility with state-of-the-art architecture, staff, and the perfect location for everyone who wants to explore the city centre.The room was tiny for the Dublin average, but it had everything needed, controllable with the tip of your finger.Spotless doesn't do justice to how clean, and immaculate the whole place was, from the entrance, the bar, and the room."
214,"No complaints, just maybe one or two breakfast ingredients were not at the same standard as everything else.But I wouldn't put this in the cons section :)"
215,location
216,The bed is difficult for two people as up against the window and you have to climb over each other
217,"The hotel is located close to St. Stephens Green and Grafton Street.  There is a taxi rank rank outside the hotel.  There is ample car parking in the grounds of the hotel.  The bed and pillows were extremely comfortable.  The room was clean.  There is a hairdryer, iron, safe, mini fridge and tea making facilities in the room.  The breakfast was excellent with a good range of food to choose from."
218,Defineltly the location.
219,"really cute hotel, loved the eco friendly facilities, spacious room and great location"
220,nothing
221,a surprising city escape
222,very convenient location
223,"Gorgeous hotel, lovely friendly staff, immaculately clean, very comfortable and fabulous breakfast. Great location. Would definitely go back."
224,"location, you can’t beat that!"
225,"I didn’t have a problem with it but the room is really small, the bed is accessible only on one side"
226,"Good location, nicely furnished.  Big towels and heated towel rail."
227,"Location is very good. nice area, access to taxi, buses, air coach to Airport."
228,The steps leading up to it. Not great for accessibility or a heavy suitcase.
229,"The staff were pleasant, the bar was good. The breakfast was basic but good. veggies options were given if asked for. 
The room was clean and the cleaning service was great. Came back to a clean room every day. 
Also the shower was great! Located in an Ok area. Dublin is we’ll connected which is helpful"
230,The rooms were a lot more basic than in pictures. almost all of the staff were helpful except one who kept taking personal calls at reception and passed us on to other members of staff who couldn’t help. I think it is slightly overpriced. Not the best area. didn’t sleep great. Bed was uncomfortable
231,location was excellent
232,Breakfast was excellent as always location not to far from train station no complaints
233,The rooms are adequately spacious. The pub area is nice. The staff are friendly.
234,The building is under refurbishment and this was not made clear during the booking process. The parking on site is very very tight and due to refurbishment equipment in the car park it was difficult to park without damaging other cars.
235,Good location for shopping and eating out. Not too much of a walk from Temple bar either. Room was clean
236,"Noisy builders very early on a Monday morning due to work being done on floor 2. Also, we put a sign on our door for it not to be cleaned, which was taken off twice."
237,Great value and location. Parking. Comfortable room
238,Carpets in the room should be more clean. Bathroom look very small for 2 people. No options for tea bags i ask for peppermint tea wasn't available. Should be more options. In general was ok.
239,Nothing
240,Easy walking distance to the main Dublin sights.
241,"Very clean,excellent bar and good location"
242,"Had a meal in the restaurant, not great,raw garlic piled on the plate"
243,"Very clean, great quality, very comfy and safe"
244,The cleaners were talking/ shouting at around 8am which woke my friend and I up. I have stayed here before and that happened the last time too. Other than that excellent hotel
245,Brilliant location. Staff were very helpful and provided a service with a smile.
246,That there was only a lift to take up to the floor we were on and not stairs. I'm not a fan of lift due to being stuck in one when I was a young child.
247,"room is quite good for a family, with 1 kid"
248,very close to everything
249,"Proximity to shopping, restaurants, buses, etc."
250,nothing all was good
251,The hotel was amazing and the staff were so friendly and helpful.
252,Excellent location - lovely spacious room with great shower. Breakfast was the best.
253,Brilliant location
254,"All hotels in Dublin are pricey, Saturday night especially."
255,"This is an excellent hotel which has an extremely high standard of cleaniness. The hotel is very nice staff are very pleasant and the room are extremely high standard. I would highly recommend this hotel for staying in Dublin city center. Very close to temple bar, Grafton street and all restaurants. It is to be fair a hidden gem in the city. This hotel will not disappoint you I would highly recommend booking in here for any kind of stay be it business, family, or personal."
256,I can not say anything bad about this hotel. I only have positive comments to make.
257,Really modern and comfortable rooms
258,"Water pressure in shower was poor l, hard to wash out shampoo from hair."
259,"Absolutely beautiful, room was beautiful. Everything was perfect in the room. Spotless and very comfortable."
260,Having to leave!
261,location
262,"central location , staff was very nice! 
close to a bus stop for public transport"
263,"The staff were very friendly and helpful, the room was clean and warm."
264,"Clean, comfortable, friendly staff and a tasty breakfast."
265,Fantastic staff.
266,"Directly opposite a hospital, so lots of ambulance sirens."
267,"- Able to check in early as our room was ready, - Good comms beforehand- Location only 10-15 min walk to city centre and 15 min taxi from airport- Staff were friendly- Breakfast was great"
268,"- Hotel entrance is into a cafe and wasn't quite sure whether we were in the right place as no obvious 'Reception' . This could be better signposted- Shower temperature was hard to control, also small shower so I ended up knocking the handle and making it so hot it scolded me"
269,Breakfast was great
270,"Very comfy and well appointed bedroom, sitting above a pretty cool cafe. Breakfast in cafe was included, I had eggs Benedict, was really really nice. would stay again."
271,"Cafe is basically the reception, shuts at 5pm, so need to make special arrangement if checking in after that. informed that via booking.com messages, but still seems a little restrictive. If locked out, could be awkward. But basically same as Airbnb, so if you’re careful you’re ok."
272,"Doesn't have a lift, so is hard if you have alot of luggage."
273,"Staff very friendly.
Lovely breakfast and room very clean."
274,Price was good. Coffee was great.
275,"It’s a very rough part of town at night. I was afraid to leave at dark. Feels unsafe. There is not 24 hour reception, so that feels uncomfortable to me. The breakfast was only ok."
276,Very clean and comfortable. The restaurant was very good and we could walk to the city centre and back (about 1/2 hour each way)
277,"Good size room, food good value for money, near the city and plenty of bus routes within walking distance"
278,The cleanliness and the absolute comfort of the bed..staff were top class too
279,NothingðŸ™‚
280,"Nice staff, we had a big room with a big bathroom, easy to walk into centre if you are prepared to walk 20 to 30 minutes, bus station nearby. Good breakfast, relaxed and pleasent atmosphere. Different decor from the usual 4 star places, which was nice for a change. Also not overheated as many hotel rooms during the night, yet you can set the heat during the day easyily."
281,beautiful hotel food amazing staff lovely
282,absolutely nothing
283,everything
284,"Room fabulous, food delicious, staff friendly and efficient, excellent stay all over, the one concern I voiced was dealt with immediately and efficiently, I have no hesitation in recommending the Hampton Hotel"
285,Staff very pleasant and location ideal
286,Bar area a bit on the cold side prefer if it was cosier.   Need a few areas with couches so you can sit off and chat and enjoy your drinks
287,"request for extra bed in the room was botched, despite being confirmed online by direct message."
288,All the staff were very helpful both before and during our stay.  The location was ver convenient with the Aircoach 700 stops from the airport directly outside the hotel.
289,We couldn't figure out hou to use the phone charger on the 1st night.  It helps when we switched it on !
290,Amazing breakfasts and excellent services. Just awsome
291,"location, the great service and the atmosphere."
292,"great location, lovely hotel"
293,Lovely setting with quirky and individualised room - loved the gin tea Rooms! Breakfast excellent
294,"The welcome at reception was poor at check in,  poor engagement appeared disorganised with little eye contact or communication. This was a pity because every other aspect of stay was excellent"
295,"All the staff who work on the bar were so lovely and friendly, nothing was too much trouble. The building itself is really impressive and in a quiet area of town. Complimentary g&t was a nice surprise!"
296,Couldn't get a better location in dublin
297,"The staff on the front desk weren’t very welcoming when we arrived at the hotel. The room had been prepaid for as an Xmas present for my partner but the desk staff opened with asking me to pay the full amount again. which was a bit embarrassing as he was standing there. 
Although the room is as advertised as Small, it is Very Small for £200+ a night. and no bath."
298,"The Wilder is a beautiful old building in which every little detail is designed with a lot of taste, it’s only a 15 min walk to the central area; the room was small but comfortable, the breakfast was very good, we recommend it!"
299,"Great location, charming architecture."
300,"The room was quite small, but we were able to make it work well enough."
301,"The ambience,the location,the attention to detail"
302,Absolutely nothing!
303,not much
304,"Breakfast was lovely, staff were really nice."
305,Tables were a little close to each other. Would have been nice to have a bit more space.
306,There are no comments available for this review
307,"very clean, amazing breakfast included in the price with our booking. location was close to temple bar and 20 minute walk from most popular sites. would stay here again- love from Canada!"
308,"The loveliest, smiliest, staff throughout who went out of their way to help.  Hotel is in a fantastic central location but still in a calm, quiet street.  Room was nice and spacious with a big bed and a sofa.  Breakfast was delicious with more than enough great food to keep you going."
309,"The bed was big with a good, firm mattress (two singles pushed together) but was in desperate need of a mattress topper as it was just too hard.  Bath towels were tiny and only just big enough for a child.   We paid a promotional price for the room but would have been very disappointed if we had paid the full price."
310,Breakfast
311,Having to book this when we did not know.
312,"Elegant hotel, beautifully appointed with attentive staff. Location was great especially good food at the adjacent Dunne & Crescenzi restaurant"
313,"Had a cosy standard room at the top of the house. It was small but very well laid out with plenty of storage for a short stay, and decorated beautifully. As it is an old townhouse there are no lifts in the building, so perhaps request a lower floor room if three flights of stairs sound alot.  The staff were very friendly and helpful. The breakfast was fabulous in a modern restaurant at the back of the building. The location was excellent - close to shopping, restaurants, and travel links. And despite its central location it is on a quiet street."
314,breakfast was amazing and location was perfect
315,nothing
316,"room, location and breakfast"
317,There are no comments available for this review
318,Room at back  -construction site noise during nightv
319,Beautiful and comfortable
320,"Location, staff , comfort . Great place"
321,Bit noisy at night but that's not down to hotel but other guests !
322,"Great staff, recommended what i could visit and what i should avoid, also recommended a great place to eat, a french location definitely glad i went there !"
323,"Nicholas, the host, was very polite and helpful."
324,It was very clean and the people were very nice
325,"The double bed wasn't that wide, for a couple it's fine but for a group of friends it's pretty cozy"
326,Perfect location for tourism. Very helpful staff
327,We loved our room and the staff made us feel welcome! We shall return!
328,"very friendly people, loved the ambience of an old family home."
329,"a bit shabby, bed was a bit uncomfortable, room for 4 was just enough. upper floor."
330,comfortable and warm
331,location isn’t ideal
332,Friendly staff.  Very clean.  Room very comfortable.  10 minute walk to Dublin city centre.
333,Been put into my room on the top floor.
334,Quiet and comfortable. Simple but just what we needed and close to the city. Staff very friendly and helpful.
335,"Really nice and cozy place in a nice old style house. The receptionists were really nice people, always ready to help with directions and recommendations of places to eat and visit. I really enjoy it there and would comeback for sure. 
The bedroom was cozy and with good accommodations and was good to have there at my disposal the water heater for a cup of tea or coffee"
336,Nothing to complay. It was even over my expectations
337,No espresso last day at breakfast but otherwise breakfast is good
338,great location friendly staff
339,everything is new and comfortable
340,"The staff were extremely friendly and went out of their way to make us feel comfortable. It was very nice of them to also let us leave our luggage there whilst we went out to explore. The bed was comfortable and the amenities in the kitchen were great, the apartment had everything you needed."
341,"It was a little further from the city centre than we expected but still not too long to walk. And public transport nearby. We had the basement room which i would have preferred not to have but was ok. However there was a lot of rubbish outside the room window, with an exit that you couldn't use. Not the most practical if you dont like stairs as we had to go up and then back down to get into our apartment in the adjacent building."
342,Clean and comfortable.
343,Friendly staff. Good facilities. Spacious room.
344,"Noisy basement room, when paid extra for quiet larger room. Bathroom was dated."
345,"The apt was very spacious and clean with very good facilities - the kitchen was extremely well stocked with everything you could need - appliances, utensils, crockery, tea and coffee etc etc; the bed was big and comfortable; there was a sofa and table and chairs; there were 2 big windows with easy-to-use blinds; the heating was excellent - just need to press a switch to get heat from a radiator (central heating); the location is good - a quick 10-minute walk from the top of O'Connell Street; the staff I met were pleasant and helpful and it's nice to be able to come and go as you please without necessarily having to pass by a front desk at reception..."
346,The flush in the toilet was rather weak; the position of the safe in the wardrobe meant that you couldn't hang things properly; can someone tell me which is the shower gel - body cream or body lotion...?!All in all I would really recommend this place and stay again...
347,it was such a nice building and very clean
348,Good Location and comfortable bed
349,The room was what I expected. Check-in easy. Staff helpful. The Sonder app is useful.
350,I found it strange that there were no plugs in the kitchen sink or in the bathroom which made it difficult to do the dishes.
351,"Room size is good, with nice bedroom"
352,"Small TV, small shower and room not that clean with lots of hair on carpets which was no t goodAlso , extractor fan not working so smells from cooking"
353,"Apartment was lovely, bed was one of the most comfortable we've stayed in. The apartment had all of the amenities you would need for a stay and was well equipped."
354,location and staff
355,"no lift , no washing machine,"
356,"Nice clean apartment in a good location, served our purpose well."
357,Really slow wifi
358,"Check in was supposed to be from 3pm but wasn't ready until 5pm, though they did offer us late check out in return."
359,comfortable clean great staff
360,tiny closet space not enough for family or more than 3 days stay
361,excellent location- helpful and friendly young man on reception who greeted us every day and wished us a nice day- friendly and courteous cleaning staff when we met them in the corridor. lovely self catering room fully equipped.
362,absolutely nothing we didn’t like.
363,The hotel and check in itself was lovely and easy. We had arrived early and the hotel did everything that could to ensure that we could get in as early as possible. The room was tidy and clean
364,The walls of the hotel are very thin! this is the only downfall. You can hear everything through the walls especially the cleaners. It isn't a big let down but just something we noticed.
365,Location was good.
