,Text,Length,Cluster,Most Important Word
10,stunning chic decor spacious rooms italian marble bathrooms offered 5star boutique hotel dylan located 10minute walk rds aviva stadiumwith bose ipod docking stations loaded historic dublin walking tours luxurious beds linen beautiful room provides plasmascreen tv guests enjoy inroom movie menu free wifi complimentary mineral waterspacious rooms individually designed boast opulent furnishings memory foam mattresses professional hairdryers foot spas available requestthe eddison restaurant serves gourmet bistrostyle cuisine using finest irish ingredients dylan bar overlooks restaurant fine selection cocktails wines outside terrace area room service also availabletrinity college st stephens green one mile dylan hotel dublin castle o2 arena less 5minute drive away,769,1,dylan
11,5star luxury hotel dublin city centre opposite national concert hall six hundred fifty yards shops grafton street airconditioned rooms stylish restaurantthe bright spacious rooms decorated sleek wooden floors oak panels bespoke irish artwork guests also benefit nespresso coffee machinethe coburg restaurant allday brasserie featuring seafood bouillabaisse roaring water bay rope mussels coburg club sandwich crab cocktail enjoy cocktails tea time lemuels lounge bar al fresco dining seasonal menu terrace kitchen socialthe conrad dublin also 24hour room service fitness centre gym business centre offering secretarial servicesst stephens green two hundred yards away trinity college less mile one miles conrad,710,1,coburg
12,situated dublin gleesons townhouse booterstown features terrace free wifi property bar well restaurant serving european cuisine property twentyone miles rds twentyfour miles aviva stadiumthe rooms hotel equipped coffee machine flatscreen tv air conditioning bathroom free toiletries rooms come seating areabreakfast available every morning includes continental à la carte full irish optionsgleesons townhouse five hundred fifty yards dart dublin area rapid transport takes around 10minutes dublin city centre bus stops also located five hundred fifty yards townhousegrand canal thirtyone miles gleesons townhouse booterstown nearest airport dublin airport eightyseven miles hotel,679,1,townhouse
13,boutique trinity city hotel 2minute walk trinity college highspeed wifi throughout offers informal restaurant barthe large stylish rooms trinity city hotel include flatscreen tv laptop safe fulllength mirror tea coffee making facilities ensuite bathrooms equipped complimentary luxury toiletries rooms panoramic city viewswith informal atmosphere openplan restaurant huge floortoceiling windows serves light lunches coffees day evening dinner menu heated outdoor terrace area several opulently furnished lounges hotel guests relax inthe temple bar district 5minute walk away hotel 24hour reception dart station tara street one minute walk trinity city hotel,657,1,hotel
14,youre eligible genius discount aberdeen lodge save property sign inknown quiet fashionable location within minutes dublin city centre charming 4star boutique hotel offers free wifi awardwinning breakfaston treelined park avenue ballsbridge exclusive area dublin aberdeen lodge luxury irish edwardian property excellent reviews leading guides often features bridgestones top one hundred places stay irelandthe large rooms combine comfort needed facilities fourposter beds period furniture feature full bathrooms indulge aromatherapy toiletries robes slippersenjoy real local dishes conservatory whilst overlooking beautiful gardens take afternoon tea fine wines drawing room library relax newspaper book shelfaberdeen lodge close rds lansdowne road offers secure free parking conveniently located close citys bus dart dublin area rapid transport systems,852,1,lodge
15,heart historic dublin overlooking trinity college westin dublin offers 5star luxury close grafton street luas tramline set historic former bank offers spacious rooms 49inch hd tvsluxurious rooms westin boast signature westin heavenly beds along inroom movies satellite channels lcd tv guests relax deluxe toiletries cosy bathrobes teacoffee room rooms balcony overlook glass atriumdining experiences westin dublin include elegant atrium lounge offering lunch afternoon tea dinner morelands grill contemporary grill restaurant serving breakfast lunch dinner largest room banking hall restored original 19thcentury magnificencethe bustling tourist district temple bar 5minute walk westin vibrant central o’connell street also five minutes’ walk away hotel located end grafton street numerous shops,795,1,westin
16,property ten minute drive dublin’s city centre sumptuous decor marble bathrooms beautiful landscaped gardens offered luxurious hotelthe intercontinental dublin formerly four seasons hotel 5star urban resort located two acres gardens ballsbridge one dublins affluent areas boasts citys largest guestrooms suites well twenty yards swimming poolelegantly furnished spacious room beautiful views hotel’s landscaped courtyard city guests relax luxury bathrooms glasswalled shower extra deep bathtub rooms also include satellite tvdvd player cosy bathrobesthe restaurant serves international cuisine made finest irish ingredients lobby lounge overlooks inner courtyard garden offers morning coffee pastries afternoon teaherbert park five minutes’ walk hotel dublin’s centre reached ten minutes car sandymount dart station five minutes drive hotel,840,1,courtyard
17,1bed apt dublin city centre dublin provides accommodation free wifi nine hundred yards city hall less six miles dublin castle 12minute walk chester beatty library apartment seven miles gaiety theatre six hundred fifty yards trinity collegethe apartment equipped one bedroom kitchen fridge oven washing machine one bathroom free toiletries hairdryer towels bed linen provided apartmentpopular points interest near 1bed apt dublin city centre include epic irish emigration museum connolly train station st michans church nearest airport dublin airport fiftysix miles accommodation,578,0,apt
18,lovely studio dublin city centre situated dublin less six miles dublin castle 12minute walk chester beatty library well less six miles epic irish emigration museum accommodation nine hundred yards city hall free wifi throughout propertythe apartment includes one bedroom kitchen fridge oven well kettle towels bed linen available apartmentpopular points interest near apartment include connolly train station st michans church gaiety theatre nearest airport dublin airport fiftysix miles lovely studio dublin city centre,520,0,lovely
19,boasting fitness centre destiny student new mill campus accommodation situated dublin property close several wellknown attractions five hundred fifty yards st patricks cathedral 10minute walk guinness storehouse 11minute walk dublin castle property located dublin city centre districtat student accommodation rooms equipped desk wardrobe private bathroom fitted shower rooms destiny student new mill also boast seating areafor tips get around area guests ask receptionthe city hall 12minute walk accommodation gaiety theatre seven miles away nearest airport dublin airport sixtytwo miles property,596,1,student
20,located dublin seventeen miles sandymount beach curve millennium tower provides accommodation terrace restaurant bar free wifi private parking available sitethe airconditioned apartment composed three separate bedrooms fully equipped kitchen two bathrooms flatscreen tv providedpopular points interest near apartment include aviva stadium epic irish emigration museum merrion square nearest airport dublin airport sixtytwo miles curve millennium tower,451,0,curve
21,located dublin city hall reachable within twelve km destiny student tannery provides concierge services nonsmoking rooms fitness centre free wifi throughout property shared lounge property situated six hundred fifty yards st patricks cathedral nine miles st michans church nine miles jameson distillery accommodation features shared kitchen 24hour front desk guestsat student accommodation rooms equipped wardrobe every room fitted private bathroom shower rooms provide kitchen fridge units include bed linenpopular points interest near destiny student tannery include dublin castle chester beatty library st stephens green nearest airport dublin airport sixtytwo miles accommodation,683,0,student
22,offering free wifi talbot coach house set centre dublin within four hundred fifty yards connolly train station seven hundred fifty yards epic irish emigration museum holiday home seven miles book kells nine miles city hallthe airconditioned holiday home composed four separate bedrooms fully equipped kitchen four bathroomspopular points interest near holiday home include convention centre dublin trinity college irish whiskey museum nearest airport dublin airport fiftysix miles talbot coach house,499,0,talbot
23,occupying convenient position heart dublin’s lively city centre 2star familyrun hotel provides perfect base explore city offerstart day heading experience dublin nearby points interest include oconnell street temple bar trinity college dublin castle guinness storehouse grafton street henry street shopping theatres museums restaurants,335,1,street
24,grafton hotel features bar terrace among facilities property restaurant 24hour front desk room service along free wifi throughout property hotel family roomsthe rooms hotel fitted kettle private bathroom equipped shower hairdryer free toiletries units grafton hotel equipped flatscreen tv satellite channelsthe accommodation offers continental buffet breakfast,360,1,hotel
25,well set central area dublin central prime king size apartment offers garden views terrace accommodation four hundred fifty yards convention centre dublin free wifi throughout propertythe apartment balcony river views features two bedrooms living room flatscreen tv equipped kitchen fridge oven two bathrooms bath towels bed linen provided apartmentpopular points interest near apartment include 3arena epic irish emigration museum connolly train station nearest airport dublin airport seventyfive miles central prime king size apartment,537,0,king
26,set dublin sixteen miles sandymount beach seven miles rds arena donnybrook cottage provides accommodation amenities free wifi flatscreen tv apartment seventeen miles merrion square seventeen miles little museum dublinwith direct access terrace apartment comes two separate bedrooms fully equipped kitchenfitzwilliam square fourteen miles apartment lansdowne road train station one miles away nearest airport dublin airport eightyone miles donnybrook cottage,457,0,donnybrook
27,located centre dublin four hundred fifty yards connolly train station seven hundred fifty yards epic irish emigration museum georgian grand apartment offers free wifi apartment seven miles book kells nine miles city hallthe 1bedroom apartment comes living room flatscreen tv fully equipped kitchen one bathroompopular points interest near apartment include convention centre dublin trinity college irish whiskey museum nearest airport dublin airport fiftysix miles georgian grand apartment,489,0,apartment
28,located centre dublin three hundred fifty yards national museum ireland decorative arts history easyhotel dublin provides airconditioned rooms free wifi property set nine miles dublin castle one miles chester beatty library nine miles st patricks cathedral property nonsmoking situated six hundred fifty yards st michans churchall units hotel equipped flatscreen tv every room comes private bathroom shower free toiletries hairdryer easyhotel dublin rooms bed linen towelsthe accommodation conveniently provide information reception help guests get around areapopular points interest near easyhotel dublin include jameson distillery heuston train station city hall nearest airport dublin airport fiftysix miles hotel,716,0,easyhotel
29,youre eligible genius discount highfield house save property sign inset eleven miles national museum ireland decorative arts history highfield house offers accommodation fitness centre garden shared kitchen conveniencea terrace found aparthotel along shared loungepopular points interest near highfield house include st michans church jameson distillery city hall nearest airport dublin airport five miles accommodation,419,0,highfield
30,youre eligible genius discount double bedroom studios save property sign indouble bedroom studios offers rooms free wifi dublin situated conveniently one miles st michans church eleven miles jameson distillery property close trinity college irish whiskey museum book kells property seven miles croke park stadium within one miles city centrethe units guest house fitted kettle private bathroom equipped shower free toiletries hairdryer double bedroom studios rooms come desk flatscreen tvpopular points interest near accommodation include connolly train station epic irish emigration museum city hall nearest airport dublin airport five miles double bedroom studios,665,0,studios
31,jackson court hotel dublin located centre dublin 5minute walk grafton street st stephen’s green offers onsite nightclubthe georgian building offers rooms private bathroom rooms also benefit tv tea coffee making facilities rooms boast kingsize beds lcd tvs hotel provides hairdryers safes irons upon requestoconnell street st patricks cathedral trinity college 5minute walk away guinness store house dublin zoo reached within five kmsthe luas tram stops outside hotel’s door easy access rest dublin,497,1,hotel
32,unique decoration furnishings acara house bb located dublin one thousand yards croke park stadium free wifi access availableeach room provide flatscreen tv private bathroom showereach morning irish breakfast served breakfast room array pubs restaurants cafés located within 10minute walkthe property twelve miles temple bar button factory dublin airport fortythree miles away,375,1,acara
33,youre eligible genius discount parnell corner apartments save property sign insituated within seven miles st michans church nine miles jameson distillery centre dublin parnell corner apartments features accommodation free wifi seating areaeach unit comes fully equipped kitchen dining table flatscreen tv satellite channels private bathroom shower free toiletries hairdryer fridge oven dishwasher also offered well kettlepopular points interest near apartment include connolly train station epic irish emigration museum city hall nearest airport dublin airport five miles parnell corner apartments,597,0,corner
34,youre eligible genius discount dublin city retreat save property sign inlocated dublin dublin city retreat offers selfcatering apartment free wifi access throughout property situated four hundred fifty yards convention centre dublin six miles trinity collegethe apartment features balcony garden views consists fully equipped kitchen dining area living area flatscreen tv bathroom fitted bathtub shower hairdryer ironing facilities availabledublin city retreat lies within six miles leinster house houses oireachtas national library ireland six miles dublin airport located fiftysix miles away,593,0,retreat
35,youre eligible genius discount jurys inn dublin parnell street save property sign inlocated dublin’s parnell street jurys inn around corner o’connell street jurys offers en suite bedrooms restaurant il barista coffee barjurys inn parnell street offers contemporary rooms dream beds tvs freeview spa toiletries private bathrooms workspace area tea coffee making facilitiesjurys 24hour reception 5minute walk temple bar district dublin castle grafton street trinity college 10minute walk awaybuffet breakfast available choose cereals hot breakfast items pastries healthy breakfast items start day right way bar restaurant fully openedthe restaurant offers evening menu irish international cuisine inntro bar serves light lunches whilst specialty coffees available il barista guests make use onsite fitness roomthe bus stop o’connell street services dublin airport six miles away heuston train station fifteen miles jurys connolly station 15minute walk away,954,1,jurys
36,draper rooms attractively located dublin restaurant free wifi bar property close lansdowne road train station epic irish emigration museum little museum dublin property nonsmoking situated nineteen miles sandymount beachat hotel rooms include desk rooms draper rooms fitted private bathroom fitted showerpopular points interest near accommodation include merrion square fitzwilliam square aviva stadium nearest airport dublin airport sixtyeight miles draper rooms,463,0,draper
37,heart dublin city centre clifden house listed georgian house secure parking surcharge oconnell street croke park within 5minute walk propertyeach en suite room clifden house free wifi tv teacoffee facilitiesthe guest house offers 24hour front desk luggage storage within 20minute walk temple bar vast array restaurants barsclifden house 10minute drive 3arena 20minute drive dublin airport,388,1,house
38,stylish room 1880s guinness worker house located dublin one miles heuston train station eighteen miles city hall eighteen miles dublin castle accommodation nine miles kilmainham gaol features free wifi throughout propertytowels bed linen provided homestaychester beatty library nineteen miles homestay st patricks cathedral two miles away nearest airport dublin airport eightyseven miles stylish room 1880s guinness worker house,428,0,1880s
39,well situated centre dublin modern one bedroom apartment trendy portabello offers patio accommodation less six miles st stephens green features free wifi throughout propertythe apartment fitted one bedroom kitchen fridge oven one bathroom shower free toiletries washing machine towels bed linen featured apartmentpopular points interest near apartment include chester beatty library st patricks cathedral city hall nearest airport dublin airport sixtytwo miles modern one bedroom apartment trendy portabello,507,0,portabello
40,featuring 3star accommodation motel one dublin set dublin less six miles dublin castle 10minute walk chester beatty library featuring bar 3star hotel airconditioned rooms free wifi private bathroom property seven hundred fifty yards city hall within five hundred fifty yards city centreall guest rooms hotel come seating area flatscreen tv safety deposit box motel one dublin rooms fitted bed linen towelsa buffet continental vegetarian breakfast enjoyed propertythe accommodation conveniently provide information reception help guests get around areapopular points interest near motel one dublin include connolly train station st michans church gaiety theatre nearest airport dublin airport fiftysix miles hotel,712,0,motel
41,located top o’connell street hotel st george heart dublin city centre within two hundred yards shopping district henry street free wifi bedrooms also private bathroomsrooms provide hairdryers telephones teacoffee making facilities individually furnished rooms share original georgian character buildingthe stunning lounge area features period staircase crystal chandeliers marble fireplaceshotel st george within 15minute walk landmarks trinity college temple bar grafton street croke park dublin airport shuttle stop two minutes property dublin airport five miles away,569,1,george
42,youre eligible genius discount temple bar crown square apartments save property sign inideally situated centre dublin temple bar crown square apartments offers balcony accommodation four hundred fifty yards city hall features free wifi throughout propertythe apartment terrace city views two bedrooms living room flatscreen tv equipped kitchen fridge oven one bathroom shower towels bed linen available apartmentpopular points interest near apartment include dublin castle gaiety theatre trinity college nearest airport dublin sixtytwo miles temple bar crown square apartments property offers paid airport shuttle service,621,0,crown
43,boasting terrace free wifi gardiner lodge situated centre dublin close connolly train station epic irish emigration museum convention centre dublina buffet à la carte full englishirish breakfast enjoyed propertypopular points interest near bed breakfast include trinity college irish whiskey museum croke park stadium nearest airport dublin airport five miles gardiner lodge,374,0,gardiner
44,marlin hotel dublin prime location centre dublin four hundred fifty yards dublin castle six hundred fifty yards st stephens green hotel offers fitness centre bar accommodation provides free wifithe rooms hotel equipped flatscreen tv netflix well led mood lighting marlin hotel dublin features rooms feature city views every room private bathroom shower units accommodation air conditioning wardrobea full englishirish breakfast available morning marlin hotel dublinstaff hotel available provide guidance 24hour front deskthe stephens green tram stop four hundred fifty yards away popular points interest near marlin hotel dublin include st patricks cathedral nearest airport dublin airport eightyone miles accommodation,719,1,marlin
45,youre eligible genius discount exchange suite downtown save property sign inexchange suite downtown located central area dublin five hundred fifty yards trinity college five hundred fifty yards irish whiskey museum complimentary wifi featured throughout property private parking available sitethe apartment features balcony two bedrooms living room wellequipped kitchen flatscreen tv availablepopular points interest near apartment include book kells city hall dublin castle nearest airport dublin airport sixtytwo miles exchange suite downtown,544,0,downtown
46,situated doorstep trinity college stone’s throw dublin’s financial centre ifsc lombard oasis hustle bustle city formally mahaffys lombard carefully renovated smith group architects space projects reflect history fine lady dublin city current status one fast paced cities europethe beautiful en suite rooms lombard highspecification modern design features orthopaedic beds flatscreen tv free toiletriesthe hotel also offers two 3course evening meals upon requestwith fabulous terrazzo floor dark wood furnishings plush banquette seating lombard ideal quick lunch leisurely drink bite eat busy day addition eight new guest bedrooms bar also ideal location spend night dublin’s city centre keeping tradition mahaffys lombard staff continue offer warm welcome,755,1,lombard
47,set dublin three hundred fifty yards 3arena thirteen miles centre beckett locke offers airconditioned accommodation free wifi fitness centrethe accommodation comes flatscreen tv private bathroom shower hairdryer kitchen fridge dishwasher microwave units feature seating area andor terracepopular points interest near aparthotel include convention centre dublin epic irish emigration museum connolly train station nearest airport dublin airport seventyfive miles beckett locke,475,0,beckett
48,situated fifteen minutes walk st stephen’s green travelodge dublin city rathmines offers budget rooms power showers dublin’s centre twelve miles away hotel buses outside stop every five minutestrinity college temple bar district twentyfive minutes’ walk away rathmines includes many shops restaurants within 15minute walkeach rooms travelodge dublin city rathmines includes flatscreen tv tea coffee making facilities along ensuite bathroom hairdryers available upon request free tea coffee also provided prior arrangement wheelchair accessible rooms may availablethere 24hour reception travelodge lobby area provides various vending machines free wifi unlimited data devices available throughout hotelbreakfast served nearby restaurant baked situated minutes walk hotel,769,1,travelodge
49,temple bar close button factory venue merchant house spacious luxurious suites minutes restaurants theatres bars historic landmarksthe guesthousestyle suites dublins old quarter come free internet access chocolates complimentary refreshments arrivalthe merchant house building built one thousand seven hundred twenty restored two thousand five suite large stylish bathroom soundproofed windowsexpress checkinout service dedicated reception area within property please state exact time date arrival time booking order ensure member staff available welcome guests show rooms,572,1,merchant
50,offering garden views one bedroom apartment dublin accommodation located dublin three hundred fifty yards glasnevin cemetery museum six miles national botanic gardens apartment twentyfour miles jameson distillery twentyseven miles connolly train stationthis apartment comes one bedroom living room fully equipped kitchenettecroke park stadium eleven miles apartment st michans church twentytwo miles away nearest airport dublin airport fortythree miles one bedroom apartment dublin,481,0,apartment
51,youre eligible genius discount ifsc townhouse apartments save property sign inboasting terrace free wifi ifsc townhouse apartments situated centre dublin close convention centre dublin epic irish emigration museum 3arenathe apartment provides guests balcony city views seating area cable flatscreen tv fully equipped kitchen fridge oven private bathroom shower free toiletries dishwasher microwave stovetop also available well kettlepopular points interest near ifsc townhouse apartments include connolly train station trinity college irish whiskey museum nearest airport dublin airport fiftysix miles accommodation,615,0,ifsc
52,offering free wifi city views guestready enchanting 1br flat newmarket hall accommodation situated right heart dublin seven miles city hall six miles dublin castle apartment eight miles st michans church one miles jameson distillerythe apartment consists one bedroom living room fully equipped kitchen dishwasher one bathroom shower free toiletries towels bed linen available apartmentcycling enjoyed nearbypopular points interest near apartment include chester beatty library st stephens green st patricks cathedral nearest airport dublin airport sixtytwo miles guestready enchanting 1br flat newmarket hall,608,0,1br
53,youre eligible genius discount yugo highfield park dublin city save property sign insituated twelve miles st michans church yugo highfield park dublin city features accommodation garden shared lounge shared kitchen convenience complimentary wifi available throughout propertynational museum ireland decorative arts history thirteen miles aparthotel jameson distillery nine miles property nearest airport dublin airport fortythree miles yugo highfield park dublin city,467,0,highfield
54,overlooking river liffey ashling hotel beside heuston station dublin 4star hotel beautifully decorated interiors spacious rooms free wifi stylish barthe ashling located 5minute walk dublin zoo guinness storehouse 5minute journey luas tram brings lively temple bar areadecorated warm tones rooms comfortable beds crisp white duvets rooms include flatscreen tvs inroom safeschesterfields brasserie serves cooked breakfasts morning lunchtime cavery fine irish international cuisine eveningthe iveagh bar polished marble floors range light snacks fantastic cocktails many comfortable lounges luxuriously deep sofas guests relax,623,1,ashling
55,leeson lodge familyrun guesthouse located quieter georgian quarter dublins city centre less fifteen minutes walk stephens green offers pleasant accommodation historic period buildingthe property offers complimentary wifi luggage storage limited parkingeach room features en suite shower rooms free toiletries hairdryer teacoffee making facilities flat screen tvtrinity college temple bar national concert hall national gallery within twenty minutes walk,453,1,parkingeach
56,boasting free wifi modern hostel located dublins famous oconnell bridge guests enjoy 24hour reception nightly pub crawlsabbey court hostel provides wide range facilities guests including free bed linen free lockers rooms laundry facilities free use computers internet accessa variety entertainment provided games music room relaxing lounge snacks drinks available 24hours day guests make use selfcatering kitchen guests also visit bar bring drinksfree guided walking tours available daily airport shuttle bus stops hostel dublins tourist office branch abbey court staff reception available twentyfour hours day provide advice tourist tipsbustling temple bar famous nightlife 2minute walk away trinity college ten minutes away foot dublin castle christchurch cathedral fifteen minutes’ walk abbey court hostel,808,1,hostel
57,located heart drumcondra village dublin skylon hotel familyrun hotel situated next many famous dublin landmarks national botanic gardens glasnevin cemetery croke park stadium reached fifteen minutes foot dublin city university dcu located 10minute walkdublin skylon hotel secure onsite car park favoured guests dublin airport m50 located 10minute drive express taxibus lane located directly outside hotel giving guests even accessibility dublin city centrethe elegantly designed bedrooms finished highest standard includes stylish respa beds laptop safe free wifi private bathroom rituals toiletries cleanliness highest importance dublin skylon hotel stayovers rooms cleaned every day fresh towels providedguests enjoy extensive cooked irish breakfast continental options served table skylon bar grill offers classic bar favourites using locally sourced ingredients menus come suggestion wines around world extensive cocktail menu gin gallery,942,1,skylon
58,well situated centre dublin modern one bedroom apartment trendy portabello offers patio accommodation less six miles st stephens green features free wifi throughout propertythe apartment fitted one bedroom kitchen fridge oven one bathroom shower free toiletries washing machine towels bed linen featured apartmentpopular points interest near apartment include chester beatty library st patricks cathedral city hall nearest airport dublin airport sixtytwo miles modern one bedroom apartment trendy portabello,507,0,portabello
59,featuring 3star accommodation motel one dublin set dublin less six miles dublin castle 10minute walk chester beatty library featuring bar 3star hotel airconditioned rooms free wifi private bathroom property seven hundred fifty yards city hall within five hundred fifty yards city centreall guest rooms hotel come seating area flatscreen tv safety deposit box motel one dublin rooms fitted bed linen towelsa buffet continental vegetarian breakfast enjoyed propertythe accommodation conveniently provide information reception help guests get around areapopular points interest near motel one dublin include connolly train station st michans church gaiety theatre nearest airport dublin airport fiftysix miles hotel,712,0,motel
60,located top o’connell street hotel st george heart dublin city centre within two hundred yards shopping district henry street free wifi bedrooms also private bathroomsrooms provide hairdryers telephones teacoffee making facilities individually furnished rooms share original georgian character buildingthe stunning lounge area features period staircase crystal chandeliers marble fireplaceshotel st george within 15minute walk landmarks trinity college temple bar grafton street croke park dublin airport shuttle stop two minutes property dublin airport five miles away,569,1,george
61,youre eligible genius discount temple bar crown square apartments save property sign inideally situated centre dublin temple bar crown square apartments offers balcony accommodation four hundred fifty yards city hall features free wifi throughout propertythe apartment terrace city views two bedrooms living room flatscreen tv equipped kitchen fridge oven one bathroom shower towels bed linen available apartmentpopular points interest near apartment include dublin castle gaiety theatre trinity college nearest airport dublin sixtytwo miles temple bar crown square apartments property offers paid airport shuttle service,621,0,crown
62,boasting terrace free wifi gardiner lodge situated centre dublin close connolly train station epic irish emigration museum convention centre dublina buffet à la carte full englishirish breakfast enjoyed propertypopular points interest near bed breakfast include trinity college irish whiskey museum croke park stadium nearest airport dublin airport five miles gardiner lodge,374,0,gardiner
63,youre eligible genius discount exchange suite downtown save property sign inexchange suite downtown located central area dublin five hundred fifty yards trinity college five hundred fifty yards irish whiskey museum complimentary wifi featured throughout property private parking available sitethe apartment features balcony two bedrooms living room wellequipped kitchen flatscreen tv availablepopular points interest near apartment include book kells city hall dublin castle nearest airport dublin airport sixtytwo miles exchange suite downtown,544,0,downtown
64,set dublin three hundred fifty yards 3arena thirteen miles centre beckett locke offers airconditioned accommodation free wifi fitness centrethe accommodation comes flatscreen tv private bathroom shower hairdryer kitchen fridge dishwasher microwave units feature seating area andor terracepopular points interest near aparthotel include convention centre dublin epic irish emigration museum connolly train station nearest airport dublin airport seventyfive miles beckett locke,475,0,beckett
65,situated fifteen minutes walk st stephen’s green travelodge dublin city rathmines offers budget rooms power showers dublin’s centre twelve miles away hotel buses outside stop every five minutestrinity college temple bar district twentyfive minutes’ walk away rathmines includes many shops restaurants within 15minute walkeach rooms travelodge dublin city rathmines includes flatscreen tv tea coffee making facilities along ensuite bathroom hairdryers available upon request free tea coffee also provided prior arrangement wheelchair accessible rooms may availablethere 24hour reception travelodge lobby area provides various vending machines free wifi unlimited data devices available throughout hotelbreakfast served nearby restaurant baked situated minutes walk hotel,769,1,travelodge
